Niter,Jacobi,Gauss-Seidel,Relaxation
514.000000,-0.062725,-0.095785,-0.093902
515.000000,-0.062797,-0.095904,-0.094018
516.000000,-0.062869,-0.096023,-0.094134
517.000000,-0.062941,-0.096142,-0.094250
518.000000,-0.063013,-0.096260,-0.094365
519.000000,-0.063085,-0.096379,-0.094481
520.000000,-0.063157,-0.096497,-0.094597
521.000000,-0.063229,-0.096616,-0.094712
522.000000,-0.063301,-0.096734,-0.094828
523.000000,-0.063373,-0.096853,-0.094944
524.000000,-0.063444,-0.096971,-0.095059
525.000000,-0.063516,-0.097089,-0.095175
526.000000,-0.063587,-0.097208,-0.095290
527.000000,-0.063659,-0.097326,-0.095405
528.000000,-0.063730,-0.097444,-0.095521
529.000000,-0.063802,-0.097562,-0.095636
530.000000,-0.063873,-0.097680,-0.095751
531.000000,-0.063945,-0.097798,-0.095866
532.000000,-0.064016,-0.097916,-0.095981
533.000000,-0.064087,-0.098034,-0.096096
534.000000,-0.064159,-0.098152,-0.096211
535.000000,-0.064230,-0.098270,-0.096326
536.000000,-0.064301,-0.098387,-0.096441
537.000000,-0.064372,-0.098505,-0.096556
538.000000,-0.064443,-0.098623,-0.096671
539.000000,-0.064514,-0.098740,-0.096786
540.000000,-0.064585,-0.098858,-0.096900
541.000000,-0.064656,-0.098976,-0.097015
542.000000,-0.064727,-0.099093,-0.097130
543.000000,-0.064798,-0.099210,-0.097244
544.000000,-0.064869,-0.099328,-0.097359
545.000000,-0.064939,-0.099445,-0.097473
546.000000,-0.065010,-0.099563,-0.097588
547.000000,-0.065081,-0.099680,-0.097702
548.000000,-0.065152,-0.099797,-0.097816
549.000000,-0.065222,-0.099914,-0.097931
550.000000,-0.065293,-0.100031,-0.098045
551.000000,-0.065363,-0.100148,-0.098159
552.000000,-0.065434,-0.100265,-0.098273
553.000000,-0.065504,-0.100382,-0.098388
554.000000,-0.065575,-0.100499,-0.098502
555.000000,-0.065645,-0.100616,-0.098616
556.000000,-0.065715,-0.100733,-0.098730
557.000000,-0.065786,-0.100850,-0.098844
558.000000,-0.065856,-0.100967,-0.098958
559.000000,-0.065926,-0.101084,-0.099072
560.000000,-0.065996,-0.101200,-0.099185
561.000000,-0.066066,-0.101317,-0.099299
562.000000,-0.066136,-0.101434,-0.099413
563.000000,-0.066206,-0.101550,-0.099527
564.000000,-0.066276,-0.101667,-0.099640
565.000000,-0.066346,-0.101783,-0.099754
566.000000,-0.066416,-0.101900,-0.099867
567.000000,-0.066486,-0.102016,-0.099981
568.000000,-0.066556,-0.102132,-0.100095
569.000000,-0.066626,-0.102249,-0.100208
570.000000,-0.066696,-0.102365,-0.100321
571.000000,-0.066765,-0.102481,-0.100435
572.000000,-0.066835,-0.102597,-0.100548
573.000000,-0.066905,-0.102714,-0.100661
574.000000,-0.066974,-0.102830,-0.100775
575.000000,-0.067044,-0.102946,-0.100888
576.000000,-0.067113,-0.103062,-0.101001
577.000000,-0.067183,-0.103178,-0.101114
578.000000,-0.067252,-0.103294,-0.101227
579.000000,-0.067322,-0.103410,-0.101340
580.000000,-0.067391,-0.103526,-0.101453
581.000000,-0.067461,-0.103642,-0.101566
582.000000,-0.067530,-0.103757,-0.101679
583.000000,-0.067599,-0.103873,-0.101792
584.000000,-0.067668,-0.103989,-0.101905
585.000000,-0.067738,-0.104105,-0.102018
586.000000,-0.067807,-0.104220,-0.102131
587.000000,-0.067876,-0.104336,-0.102244
588.000000,-0.067945,-0.104451,-0.102356
589.000000,-0.068014,-0.104567,-0.102469
590.000000,-0.068083,-0.104683,-0.102582
591.000000,-0.068152,-0.104798,-0.102694
592.000000,-0.068221,-0.104913,-0.102807
593.000000,-0.068290,-0.105029,-0.102919
594.000000,-0.068359,-0.105144,-0.103032
